"geoUnit","country","continent","year","value"
"ALB","Albania","Europe",2022,1872
"ALB","Albania","Europe",2023,2012
"AND","Andorra","Europe",2022,246
"AND","Andorra","Europe",2023,304
"ARE","United Arab Emirates","Asia",2022,225845
"ARE","United Arab Emirates","Asia",2023,237034
"ARG","Argentina","Americas",2022,137116
"ARM","Armenia","Asia",2022,6735
"ARM","Armenia","Asia",2023,6680
"AUS","Australia","Oceania",2022,382007
"AUS","Australia","Oceania",2023,467074
"AUT","Austria","Europe",2022,85196.5546875
"AUT","Austria","Europe",2023,87009.5625
"AZE","Azerbaijan","Asia",2022,6377
"AZE","Azerbaijan","Asia",2023,7052
"BDI","Burundi","Africa",2023,6035
"BEL","Belgium","Europe",2022,55747
"BEN","Benin","Africa",2022,3972
"BFA","Burkina Faso","Africa",2022,3594
"BFA","Burkina Faso","Africa",2023,4091
"BGD","Bangladesh","Asia",2022,2281
"BGR","Bulgaria","Europe",2022,19162
"BGR","Bulgaria","Europe",2023,19250
"BHR","Bahrain","Asia",2022,5720
"BHR","Bahrain","Asia",2023,5475
"BIH","Bosnia & Herzegovina","Europe",2022,5691
"BIH","Bosnia & Herzegovina","Europe",2023,6081
"BLR","Belarus","Europe",2022,25672
"BLR","Belarus","Europe",2023,21917
"BLZ","Belize","Americas",2022,188
"BLZ","Belize","Americas",2023,36
"BMU","Bermuda","Americas",2023,43
"BRA","Brazil","Americas",2022,24009
"BRA","Brazil","Americas",2023,25186
"BRN","Brunei","Asia",2023,577
"BWA","Botswana","Africa",2022,1290
"BWA","Botswana","Africa",2023,2172
"CAN","Canada","Americas",2022,336837
"CHE","Switzerland","Europe",2022,64847
"CHE","Switzerland","Europe",2023,66189
"CHL","Chile","Americas",2022,17721
"CHL","Chile","Americas",2023,19891
"CHN","China","Asia",2022,210903
"CHN","China","Asia",2023,200892
"CIV","Côte d’Ivoire","Africa",2022,4144
"CIV","Côte d’Ivoire","Africa",2023,4298
"CMR","Cameroon","Africa",2022,8499
"CMR","Cameroon","Africa",2023,7392
"COL","Colombia","Americas",2022,5448
"CUB","Cuba","Americas",2023,6513
"CYP","Cyprus","Asia",2022,10731
"CZE","Czechia","Europe",2022,53369
"DEU","Germany","Europe",2022,403473
"DEU","Germany","Europe",2023,423197
"DNK","Denmark","Europe",2022,31375
"DNK","Denmark","Europe",2023,29674
"DOM","Dominican Republic","Americas",2022,54701
"DZA","Algeria","Africa",2022,7724
"DZA","Algeria","Africa",2023,3618
"ECU","Ecuador","Americas",2022,6735
"EGY","Egypt","Africa",2022,69828
"EGY","Egypt","Africa",2023,86848
"EGY","Egypt","Africa",2024,51649
"ESP","Spain","Europe",2022,91692
"ESP","Spain","Europe",2023,102162
"EST","Estonia","Europe",2022,5062
"EST","Estonia","Europe",2023,4869
"FIN","Finland","Europe",2022,26774
"FIN","Finland","Europe",2023,30346
"FRA","France","Europe",2022,263458.625
"GBR","United Kingdom","Europe",2022,674931
"GEO","Georgia","Asia",2022,17527
"GEO","Georgia","Asia",2023,25105
"GHA","Ghana","Africa",2022,5416
"GHA","Ghana","Africa",2023,4765
"GIN","Guinea","Africa",2022,1181
"GIN","Guinea","Africa",2023,1327
"GRC","Greece","Europe",2022,26785
"GTM","Guatemala","Americas",2023,2192
"HKG","Hong Kong SAR China","Asia",2022,53948
"HKG","Hong Kong SAR China","Asia",2023,63688
"HRV","Croatia","Europe",2022,5735
